#k-distance eigenvalue[eV]
0.00000000 -49.56560000
0.02685343 -49.56560000
0.05370688 -49.56560000
0.08056031 -49.56560000
0.10741375 -49.56560000
0.13426719 -49.56560000
0.16112062 -49.56560000
0.18797406 -49.56560000
0.21482750 -49.56560000
0.24168093 -49.56560000
0.26853437 -49.56560000
0.29538781 -49.56560000
0.32224125 -49.56550000
0.34909468 -49.56560000
0.37594812 -49.56560000
0.40280156 -49.56550000
0.40280156 -49.56550000
0.42715802 -49.56550000
0.45151449 -49.56550000
0.47587095 -49.56550000
0.50022741 -49.56550000
0.52458387 -49.56550000
0.54894034 -49.56550000
0.57329680 -49.56540000
0.59765326 -49.56540000
0.62200972 -49.56540000
0.64636618 -49.56540000
0.67072265 -49.56530000
0.69507911 -49.56530000
0.71943557 -49.56530000
0.74379204 -49.56520000
0.76814850 -49.56520000
0.76814850 -49.56520000
0.79500194 -49.56520000
0.82185538 -49.56520000
0.84870881 -49.56510000
0.87556225 -49.56510000
0.90241569 -49.56510000
0.92926912 -49.56510000
0.95612256 -49.56510000
0.98297600 -49.56510000
1.00982944 -49.56510000
1.03668287 -49.56510000
1.06353631 -49.56510000
1.09038975 -49.56510000
1.11724318 -49.56520000
1.14409662 -49.56520000
1.17095006 -49.56520000
1.17095006 -49.56520000
1.19530652 -49.56530000
1.21966299 -49.56530000
1.24401945 -49.56530000
1.26837591 -49.56540000
1.29273238 -49.56540000
1.31708884 -49.56540000
1.34144530 -49.56540000
1.36580176 -49.56550000
1.39015822 -49.56550000
1.41451469 -49.56550000
1.43887115 -49.56560000
1.46322761 -49.56560000
1.48758407 -49.56560000
1.51194054 -49.56560000
1.53629700 -49.56560000
1.53629700 -49.56560000
1.55358368 -49.56560000
1.57087037 -49.56560000
1.58815705 -49.56560000
1.60544373 -49.56560000
1.62273041 -49.56560000
1.64001709 -49.56560000
1.65730377 -49.56560000
1.67459046 -49.56560000
1.69187714 -49.56560000
1.70916382 -49.56560000
1.72645051 -49.56560000
1.74373719 -49.56560000
1.76102387 -49.56560000
1.77831055 -49.56560000
1.79559723 -49.56560000
1.79559723 -49.56560000
1.82245067 -49.56560000
1.84930411 -49.56560000
1.87615755 -49.56560000
1.90301098 -49.56560000
1.92986442 -49.56560000
1.95671786 -49.56560000
1.98357129 -49.56560000
2.01042473 -49.56560000
2.03727817 -49.56560000
2.06413160 -49.56550000
2.09098505 -49.56560000
2.11783848 -49.56560000
2.14469191 -49.56560000
2.17154536 -49.56560000
2.19839879 -49.56560000
2.19839879 -49.56560000
2.22275525 -49.56560000
2.24711172 -49.56550000
2.27146818 -49.56550000
2.29582464 -49.56550000
2.32018111 -49.56550000
2.34453757 -49.56550000
2.36889403 -49.56540000
2.39325050 -49.56540000
2.41760696 -49.56540000
2.44196342 -49.56540000
2.46631989 -49.56530000
2.49067635 -49.56530000
2.51503281 -49.56520000
2.53938927 -49.56520000
2.56374573 -49.56510000
2.56374573 -49.56510000
2.59059917 -49.56520000
2.61745261 -49.56520000
2.64430605 -49.56520000
2.67115948 -49.56520000
2.69801292 -49.56520000
2.72486636 -49.56520000
2.75171979 -49.56510000
2.77857323 -49.56510000
2.80542667 -49.56520000
2.83228010 -49.56510000
2.85913355 -49.56510000
2.88598698 -49.56510000
2.91284042 -49.56520000
2.93969386 -49.56520000
2.96654729 -49.56520000
2.96654729 -49.56520000
2.99090375 -49.56520000
3.01526022 -49.56530000
3.03961668 -49.56530000
3.06397314 -49.56530000
3.08832961 -49.56540000
3.11268607 -49.56540000
3.13704253 -49.56540000
3.16139900 -49.56550000
3.18575546 -49.56550000
3.21011192 -49.56550000
3.23446839 -49.56550000
3.25882485 -49.56560000
3.28318131 -49.56560000
3.30753777 -49.56560000
3.33189424 -49.56560000
3.33189424 -49.56520000
3.34918092 -49.56520000
3.36646760 -49.56520000
3.38375428 -49.56520000
3.40104096 -49.56520000
3.41832765 -49.56520000
3.43561433 -49.56520000
3.45290101 -49.56520000
3.47018769 -49.56520000
3.48747437 -49.56520000
3.50476105 -49.56520000
3.52204774 -49.56520000
3.53933442 -49.56520000
3.55662110 -49.56520000
3.57390779 -49.56520000
3.59119447 -49.56520000
3.59119447 -49.56560000
3.60848115 -49.56560000
3.62576783 -49.56560000
3.64305451 -49.56550000
3.66034119 -49.56550000
3.67762788 -49.56550000
3.69491456 -49.56550000
3.71220124 -49.56550000
3.72948793 -49.56550000
3.74677461 -49.56560000
3.76406129 -49.56560000
3.78134797 -49.56560000
3.79863465 -49.56560000
3.81592133 -49.56560000
3.83320802 -49.56550000
3.85049470 -49.56550000
3.85049470 -49.56520000
3.86778138 -49.56520000
3.88506806 -49.56520000
3.90235474 -49.56520000
3.91964143 -49.56510000
3.93692811 -49.56510000
3.95421479 -49.56510000
3.97150147 -49.56510000
3.98878816 -49.56510000
4.00607484 -49.56510000
4.02336152 -49.56510000
4.04064820 -49.56510000
4.05793488 -49.56510000
4.07522156 -49.56510000
4.09250825 -49.56520000
4.10979493 -49.56510000

0.00000000 -49.56560000
0.02685343 -49.56560000
0.05370688 -49.56560000
0.08056031 -49.56560000
0.10741375 -49.56550000
0.13426719 -49.56550000
0.16112062 -49.56550000
0.18797406 -49.56550000
0.21482750 -49.56550000
0.24168093 -49.56560000
0.26853437 -49.56550000
0.29538781 -49.56550000
0.32224125 -49.56550000
0.34909468 -49.56550000
0.37594812 -49.56550000
0.40280156 -49.56550000
0.40280156 -49.56550000
0.42715802 -49.56550000
0.45151449 -49.56550000
0.47587095 -49.56550000
0.50022741 -49.56550000
0.52458387 -49.56550000
0.54894034 -49.56550000
0.57329680 -49.56540000
